,iso,Country,EPI,Year
0,CHE,Switzerland,87.67,2014
1,LUX,Luxembourg,83.29,2014
2,AUS,Australia,82.4,2014
3,SGP,Singapore,81.78,2014
4,CZE,Czech Republic,81.47,2014
5,DEU,Germany,80.47,2014
6,ESP,Spain,79.79,2014
7,AUT,Austria,78.32,2014
8,SWE,Sweden,78.09,2014
9,NOR,Norway,78.04,2014
10,NLD,Netherlands,77.75,2014
11,GBR,United Kingdom,77.35,2014
12,DNK,Denmark,76.92,2014
13,ISL,Iceland,76.5,2014
14,SVN,Slovenia,76.43,2014
15,NZL,New Zealand,76.41,2014
16,PRT,Portugal,75.8,2014
17,FIN,Finland,75.72,2014
18,IRL,Ireland,74.67,2014
19,EST,Estonia,74.66,2014
20,SVK,Slovakia,74.45,2014
21,ITA,Italy,74.36,2014
22,GRC,Greece,73.28,2014
23,CAN,Canada,73.14,2014
24,ARE,United Arab Emirates,72.91,2014
25,JPN,Japan,72.35,2014
26,FRA,France,71.05,2014
27,HUN,Hungary,70.28,2014
28,CHL,Chile,69.93,2014
29,POL,Poland,69.53,2014
30,RS,Serbia,69.13,2014
31,BLR,Belarus,67.69,2014
32,USA,United States of America,67.52,2014
33,MLT,Malta,67.42,2014
34,SAU,Saudi Arabia,66.66,2014
35,BEL,Belgium,66.61,2014
36,BRN,Brunei Darussalam,66.49,2014
37,CYP,Cyprus,66.23,2014
38,ISR,Israel,65.78,2014
39,LVA,Latvia,64.05,2014
40,BGR,Bulgaria,64.01,2014
41,KWT,Kuwait,63.94,2014
42,KOR,South Korea,63.79,2014
43,QAT,Qatar,63.03,2014
44,HRV,Croatia,62.23,2014
45,TWN,Taiwan,62.18,2014
46,TON,Tonga,61.68,2014
47,ARM,Armenia,61.67,2014
48,LTU,Lithuania,61.26,2014
49,EGY,Egypt,61.11,2014
50,MYS,Malaysia,59.31,2014
51,TUN,Tunisia,58.99,2014
52,ECU,Ecuador,58.54,2014
53,CRI,Costa Rica,58.53,2014
54,JAM,Jamaica,58.26,2014
55,MUS,Mauritius,58.09,2014
56,VEN,Venezuela,57.8,2014
57,PAN,Panama,56.84,2014
58,KIR,Kiribati,55.82,2014
59,JOR,Jordan,55.78,2014
60,SYC,Seychelles,55.56,2014
61,ME,Montenegro,55.52,2014
62,AZE,Azerbaijan,55.47,2014
63,CUB,Cuba,55.07,2014
64,MEX,Mexico,55.03,2014
65,TUR,Turkey,54.91,2014
66,ALB,Albania,54.73,2014
67,SYR,Syria,54.5,2014
68,LKA,Sri Lanka,53.88,2014
69,URY,Uruguay,53.61,2014
70,SUR,Suriname,53.57,2014
71,ZAF,South Africa,53.51,2014
72,RUS,Russia,53.45,2014
73,MDA,Moldova,53.36,2014
74,DOM,Dominican Republic,53.24,2014
75,FJI,Fiji,53.08,2014
76,BRA,Brazil,52.97,2014
77,THA,Thailand,52.83,2014
78,TTO,Trinidad and Tobago,52.28,2014
79,PLW,Palau,51.96,2014
80,MAR,Morocco,51.89,2014
81,BHR,Bahrain,51.83,2014
