,Country,iso,EPI,Year
0,Finland,FIN,90.68,2016
1,Iceland,ISL,90.51,2016
2,Sweden,SWE,90.43,2016
3,Denmark,DNK,89.21,2016
4,Slovenia,SVN,88.98,2016
5,Spain,ESP,88.91,2016
6,Portugal,PRT,88.63,2016
7,Estonia,EST,88.59,2016
8,Malta,MLT,88.48,2016
9,France,FRA,88.2,2016
10,New Zealand,NZL,88.0,2016
11,United Kingdom,GBR,87.38,2016
12,Australia,AUS,87.22,2016
13,Singapore,SGP,87.04,2016
14,Croatia,HRV,86.98,2016
15,Switzerland,CHE,86.93,2016
16,Norway,NOR,86.9,2016
17,Austria,AUT,86.64,2016
18,Ireland,IRL,86.6,2016
19,Luxembourg,LUX,86.58,2016
20,Greece,GRC,85.81,2016
21,Latvia,LVA,85.71,2016
22,Lithuania,LTU,85.49,2016
23,Slovakia,SVK,85.42,2016
24,Canada,CAN,85.06,2016
25,United States of America,USA,84.72,2016
26,Czech Republic,CZE,84.67,2016
27,Hungary,HUN,84.6,2016
28,Italy,ITA,84.48,2016
29,Germany,DEU,84.26,2016
30,Azerbaijan,AZE,83.78,2016
31,Russia,RUS,83.52,2016
32,Bulgaria,BGR,83.4,2016
33,Romania,ROU,83.24,2016
34,Belarus,BLR,82.3,2016
35,Netherlands,NLD,82.03,2016
36,Armenia,ARM,81.6,2016
37,Poland,POL,81.26,2016
38,Japan,JPN,80.59,2016
39,Cyprus,CYP,80.24,2016
40,Belgium,BEL,80.15,2016
41,Costa Rica,CRI,80.03,2016
42,Argentina,ARG,79.84,2016
43,Ukraine,UKR,79.69,2016
44,Cuba,CUB,79.04,2016
45,Brazil,BRA,78.9,2016
46,Montenegro,MNE,78.89,2016
47,Serbia,SRB,78.67,2016
48,Israel,ISR,78.14,2016
49,Macedonia,MKD,78.02,2016
50,Panama,PAN,78.0,2016
51,Chile,CHL,77.67,2016
52,Tunisia,TUN,77.28,2016
53,Jamaica,JAM,77.02,2016
54,Moldova,MDA,76.69,2016
55,Venezuela,VEN,76.23,2016
56,Colombia,COL,75.93,2016
57,Dominican Republic,DOM,75.32,2016
58,Fiji,FJI,75.29,2016
59,Taiwan,TWN,74.88,2016
60,Albania,ALB,74.38,2016
61,Trinidad and Tobago,TTO,74.34,2016
62,Malaysia,MYS,74.23,2016
63,Morocco,MAR,74.18,2016
64,Uruguay,URY,73.98,2016
65,Philippines,PHL,73.7,2016
66,Mexico,MEX,73.59,2016
67,Belize,BLZ,73.55,2016
68,Kazakhstan,KAZ,73.29,2016
69,Dominica,DMA,73.25,2016
70,Kyrgyz Republic,KGZ,73.13,2016
71,Tajikistan,TJK,73.05,2016
72,Peru,PER,72.95,2016
73,Jordan,JOR,72.24,2016
74,Guyana,GUY,71.14,2016
75,Bolivia,BOL,71.09,2016
76,Mauritius,MUS,70.85,2016
77,Namibia,NAM,70.84,2016
78,Botswana,BWA,70.72,2016
79,South Korea,KOR,70.61,2016
80,South Africa,ZAF,70.52,2016
81,Paraguay,PRY,70.36,2016
82,Algeria,DZA,70.28,2016
83,Turkmenistan,TKM,70.24,2016
84,Samoa,WSM,70.2,2016
85,Bahrain,BHR,70.07,2016
86,Qatar,QAT,69.94,2016
87,Honduras,HND,69.64,2016
88,Guatemala,GTM,69.64,2016
89,Equatorial Guinea,GNQ,69.59,2016
90,Thailand,THA,69.54,2016
91,United Arab Emirates,ARE,69.35,2016
92,The Bahamas,BHS,69.34,2016
