,code,iso,Country,EPI,Year
0,4,AFG,Afghanistan,37.74,2018
1,8,ALB,Albania,65.46,2018
2,12,DZA,Algeria,57.18,2018
3,24,AGO,Angola,37.44,2018
4,28,ATG,Antigua and Barbuda,59.18,2018
5,32,ARG,Argentina,59.3,2018
6,51,ARM,Armenia,62.07,2018
7,36,AUS,Australia,74.12,2018
8,40,AUT,Austria,78.97,2018
9,31,AZE,Azerbaijan,62.33,2018
10,44,BHS,Bahamas,54.99,2018
11,48,BHR,Bahrain,55.15,2018
12,50,BGD,Bangladesh,29.56,2018
13,52,BRB,Barbados,55.76,2018
14,112,BLR,Belarus,64.98,2018
15,56,BEL,Belgium,77.38,2018
16,84,BLZ,Belize,57.79,2018
17,204,BEN,Benin,38.17,2018
18,64,BTN,Bhutan,47.22,2018
19,68,BOL,Bolivia,55.98,2018
20,70,BIH,Bosnia and Herzegovina,41.84,2018
21,72,BWA,Botswana,51.7,2018
22,76,BRA,Brazil,60.7,2018
23,96,BRN,Brunei Darussalam,63.57,2018
24,100,BGR,Bulgaria,67.85,2018
25,854,BFA,Burkina Faso,42.83,2018
26,108,BDI,Burundi,27.43,2018
27,116,KHM,Cambodia,43.23,2018
28,120,CMR,Cameroon,40.81,2018
29,124,CAN,Canada,72.18,2018
30,132,CPV,Cabo Verde,56.94,2018
31,140,CAF,Central African Republic,36.42,2018
32,148,TCD,Chad,45.34,2018
33,152,CHL,Chile,57.49,2018
34,156,CHN,China,50.74,2018
35,170,COL,Colombia,65.22,2018
36,174,COM,Comoros,44.24,2018
37,188,CRI,Costa Rica,67.85,2018
38,384,CIV,CÃƒÂ´te d'Ivoire,45.25,2018
39,191,HRV,Croatia,65.45,2018
40,192,CUB,Cuba,63.42,2018
41,196,CYP,Cyprus,72.6,2018
42,203,CZE,Czech Republic,67.68,2018
43,180,COD,Dem. Rep. Congo,30.41,2018
44,208,DNK,Denmark,81.6,2018
45,262,DJI,Djibouti,40.04,2018
46,212,DMA,Dominica,59.38,2018
47,214,DOM,Dominican Republic,64.71,2018
48,218,ECU,Ecuador,57.42,2018
49,818,EGY,Egypt,61.21,2018
50,222,SLV,El Salvador,53.91,2018
51,226,GNQ,Equatorial Guinea,60.4,2018
52,232,ERI,Eritrea,39.34,2018
53,233,EST,Estonia,64.31,2018
54,231,ETH,Ethiopia,44.78,2018
55,242,FJI,Fiji,53.09,2018
56,246,FIN,Finland,78.64,2018
57,250,FRA,France,83.95,2018
58,266,GAB,Gabon,45.05,2018
59,270,GMB,Gambia,42.42,2018
60,268,GEO,Georgia,55.69,2018
61,276,DEU,Germany,78.37,2018
62,288,GHA,Ghana,49.66,2018
63,300,GRC,Greece,73.6,2018
64,308,GRD,Grenada,50.93,2018
65,320,GTM,Guatemala,52.33,2018
66,324,GIN,Guinea,46.62,2018
67,624,GNB,Guinea-Bissau,44.67,2018
68,328,GUY,Guyana,47.93,2018
69,332,HTI,Haiti,33.74,2018
70,340,HND,Honduras,51.51,2018
71,348,HUN,Hungary,65.01,2018
72,352,ISL,Iceland,78.57,2018
73,356,IND,India,30.57,2018
74,360,IDN,Indonesia,46.92,2018
75,364,IRN,Iran,58.16,2018
76,368,IRQ,Iraq,43.2,2018
77,372,IRL,Ireland,78.77,2018
78,376,ISR,Israel,75.01,2018
79,380,ITA,Italy,76.96,2018
80,388,JAM,Jamaica,58.58,2018
81,392,JPN,Japan,74.69,2018
82,400,JOR,Jordan,62.2,2018
83,398,KAZ,Kazakhstan,54.56,2018
84,404,KEN,Kenya,47.25,2018
85,296,KIR,Kiribati,55.26,2018
86,414,KWT,Kuwait,62.28,2018
87,417,KGZ,Kyrgyzstan,54.86,2018
88,418,LAO,Laos,42.94,2018
89,428,LVA,Latvia,66.12,2018
90,422,LBN,Lebanon,61.08,2018
91,426,LSO,Lesotho,33.78,2018
92,430,LBR,Liberia,41.62,2018
93,434,LBY,Libya,49.79,2018
94,440,LTU,Lithuania,69.33,2018
95,442,LUX,Luxembourg,79.12,2018
96,807,MKD,Macedonia,61.06,2018
97,450,MDG,Madagascar,33.73,2018
98,454,MWI,Malawi,49.21,2018
99,458,MYS,Malaysia,59.22,2018
100,462,MDV,Maldives,52.14,2018
101,466,MLI,Mali,43.71,2018
102,470,MLT,Malta,80.9,2018
103,478,MRT,Mauritania,39.24,2018
104,480,MUS,Mauritius,56.63,2018
105,484,MEX,Mexico,59.69,2018
106,583,FSM,Micronesia,49.8,2018
107,498,MDA,Moldova,51.97,2018
108,496,MNG,Mongolia,57.51,2018
109,499,MNE,Montenegro,61.33,2018
110,504,MAR,Morocco,63.47,2018
111,508,MOZ,Mozambique,46.37,2018
112,104,MMR,Myanmar,45.32,2018
113,516,NAM,Namibia,58.46,2018
114,524,NPL,Nepal,31.44,2018
115,528,NLD,Netherlands,75.46,2018
116,554,NZL,New Zealand,75.96,2018
117,558,NIC,Nicaragua,55.04,2018
118,562,NER,Niger,35.74,2018
119,566,NGA,Nigeria,54.76,2018
120,578,NOR,Norway,77.49,2018
121,512,OMN,Oman,51.32,2018
122,586,PAK,Pakistan,37.5,2018
123,591,PAN,Panama,62.71,2018
124,598,PNG,Papua New Guinea,39.35,2018
125,600,PRY,Paraguay,53.93,2018
126,604,PER,Peru,61.92,2018
127,608,PHL,Philippines,57.65,2018
128,616,POL,Poland,64.11,2018
129,620,PRT,Portugal,71.91,2018
130,634,QAT,Qatar,67.8,2018
131,178,COG,Republic of Congo,42.39,2018
132,642,ROU,Romania,64.78,2018
133,643,RUS,Russia,63.79,2018
134,646,RWA,Rwanda,43.68,2018
